name,area,category,price,vibe,description
Cafe Flo,Clifton,Fine Dining,3000-6000,Romantic,French cuisine
Kolachi,Do Darya,BBQ,2500-5000,Sea View,Sea-facing dining
Burns Road Food Street,Saddar,Street Food,300-1000,Casual,"Nihari, bun kebab"
Xanders,DHA Phase 5,Continental,1500-3500,Trendy,"Burgers, pasta"
Chai Wala,DHA,Cafe,300-1200,Hangout,Late-night chai
Butlers Chocolate Cafe,DHA,Desserts,1000-2500,Cozy,Desserts and coffee
Espresso,DHA,Cafe,1000-2500,Study,Coffee meetings
Kolachi Highway,Highway,BBQ,1500-3000,Family,Desi food
Student Biryani,Gulshan,Desi,300-800,Casual,Famous biryani
Muskan Restaurant,DHA,Desi,1000-2500,Family,BBQ and karahi
Coconut Grove,Clifton,Fine Dining,2500-5000,Family,Pakistani and continental
Cafe Aylanto,Clifton,Fine Dining,3000-6000,Elegant,Mediterranean cuisine
FLOC,DHA Phase 8,Cafe,1200-3000,Modern,Breakfast and coffee
Drop Coffee,DHA Phase 8,Cafe,800-2500,Coffee Lover,Specialty coffee
Sync Cafe,DHA Phase 8,Cafe,1000-2500,Aesthetic,Coffee and creek views
The Deli,DHA Phase 8,Cafe,1200-3000,Casual,Breakfast
Big Tree House,DHA Phase 8,Cafe,1200-3000,Instagrammable,Outdoor seating
Mews,DHA Phase 6,Cafe,1500-3500,Trendy,Popular brunch spot
Cote Rotie,DHA,Fine Dining,3000-7000,Luxury,Steaks
Aussie Burger Co,DHA,Fast Food,1000-2500,Youth,Loaded burgers
Sakura,PC Hotel,Japanese,4000-8000,Luxury,Japanese dining
Okra,DHA,Fine Dining,3000-7000,Intimate,Upscale dining
Bam Bou,DHA,Asian,2500-5000,Modern,Thai and Asian food
Tooso,DHA,Fast Food,800-2000,Casual,Wraps and burgers
Daily Dubai,Bahadurabad,Desi,800-2500,Family,Pakistani food
Necos Cafe,DHA Phase 8,Cafe,1200-3000,Healthy,Organic meals
Lal Qila,Shahrah-e-Faisal,Buffet,2500-4500,Family,Pakistani buffet
Food Centre,Nazimabad,Desi,300-1200,Local Favorite,BBQ and rolls
Hanifia,Nazimabad,Desi,300-1000,Local Favorite,Traditional food
Coffee Wagera,Bukhari,Cafe,800-2200,Study,Coffee and work
Gloria Jeans,Bukhari,Cafe,900-2500,Coffee Shop,Coffee and desserts
Ella's,DHA Phase 8,Cafe,1500-3500,Girlie,Brunch and aesthetic interiors
Amoosh,DHA,Cafe,1200-3000,Girlie,Desserts and coffee
Black Honey,DHA,Coffee Shop,800-2500,Coffee Lover,Specialty coffee
Cherie,DHA,Restaurant Cafe,2000-7000,Luxury Girlie,Fine dining aesthetic
Looop,Bukhari,Cafe,800-2200,Trendy,Coffee and desserts
Phoebe's Cafe,DHA,Cafe,1000-2500,Girlie,Community cafe
Luna,DHA,Cafe,1000-2500,Minimalist,Coffee and brunch
Melbrew,DHA,Coffee Shop,800-2200,Coffee Lover,Specialty brews
Extraction,DHA,Coffee Shop,800-2200,Coffee Focused,Specialty coffee
Market Deli,DHA,Cafe,1200-3000,Modern,Breakfast and coffee
Triggy,DHA,Cafe,1000-2500,Trendy,Coffee and desserts
Monarca,DHA Phase 8,Cafe,1000-2500,Girlie,Aesthetic spot
JUNE,Bukhari,Cafe,1000-2000,Modern,Coffee and work-friendly
The Story,Bukhari,Cafe,1000-3000,Cozy,Coffee and conversations
Beans Cafe,DHA Phase 8,Cafe,1000-2000,Casual,Breakfast and coffee
Coffee Den,DHA Phase 8,Coffee Shop,1000-2000,Coffee Focused,Specialty coffee
The Social Hub,Bukhari,Cafe,1000-2000,Hangout,Meetups and coffee
Vox Coffee,DHA Phase 8,Coffee Shop,800-2200,Coffee Nerd,Specialty coffee
Sugar Latte,DHA Phase 8,Cafe,800-2200,Girlie,Desserts and coffee
The Cafe Nook,DHA Phase 8,Cafe,500-1800,Late Night,Coffee and games
